Species
Vinciguerria nimbaria
Polyipnus polli
Astronesthes atlanticus
Borostomias elucens
Bathyteuthis abyssicola
Taonius pavo
Astronesthes richardsoni
Hygophum macrochir
Symbolophorus rufinus
Brotula barbata
Cranchia scabra
Acanthephyra quadrispinosa
Notostomus gibbosus
Symbolophorus barnardi
Cubiceps baxteri
Acanthephyra acanthitelsonis
Omosudis lowii
Diaphus vanhoeffeni
Lampanyctus vadulus
Aristostomias xenostoma
Chauliodus schmidti
Gigantura chuni
Nannobrachium isaacsi
Mastigoteuthis glaukopis
Altelatipes brevirostris
Fagegnathophausia gracilis
Gardinerosergia splendens
Phorcosergia potens
Gennadas valens
Meningodora mollis
Notostomus elegans
Oplophorus spinosus
